SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUNJ0333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMVAABIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMFLLABL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUFLLABL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJLCMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMNCBEAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMNCBEAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNCMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMVANARR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJLBSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUGACOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUGACOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTGACOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTGARDGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMMDHAVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMMDHAVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUMDHAVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTMDHAVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUPASTLN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTMDDELM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUMDDELM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDE334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PADE334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJMPWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNYWALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNYWALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNYWALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNYWALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
